pauli, seq_lengths, cnot_repetitions, n_clusters, minimized_radius, minimized_angle, minimized_rate, r_squared, ss_res, ss_tot
X, 4, 4, 3, 0.8590081108306808, 6.101787247983465, 0.0028353642927735007, 0.9682848315302479, 1.289947684833063, 40.67289398331066
X, 4, 8, 5, 0.7149085440960374, 6.006703275336745, 0.002747686003304163, 0.950070467643768, 4.407041588480053, 88.26522862335572
X, 4, 8, 4, 0.6907360060604291, 5.926913549323064, 0.002675173348332262, 0.9425621092160419, 5.069768561689402, 88.26522862335572
X, 4, 12, 7, 0.6326408827782277, 6.568630619881508, 0.003285824963471464, 0.9816137245466774, 1.6184951363114677, 88.02735172875845
X, 4, 12, 4, 0.5826686711948021, 6.394613433815135, 0.0031140338941849782, 0.9371238453766128, 5.534821378384708, 88.02735172875845
Y, 4, 4, 3, 0.8720063349589665, 6.077147919169819, 0.002812511833917491, 0.9674962336296102, 1.2886705918491774, 39.64680822414254
Y, 4, 8, 5, 0.7200133059763667, 6.075257763053149, 0.00281076257265415, 0.9692188272367916, 2.831181589923989, 91.97770376403588
Y, 4, 8, 4, 0.685025742133178, 5.5182168419406015, 0.0023189547195319616, 0.9602035692941058, 3.6603843143327257, 91.97770376403588
Y, 4, 12, 7, 0.6275942131171974, 6.927892165279182, 0.0036550808010320937, 0.9732480441536125, 2.283894303051169, 85.37298417227989
Y, 4, 12, 4, 0.5891468723320321, 6.314665335545857, 0.0030366547740321185, 0.9330897718042396, 5.712325852720289, 85.37298417227989
